#,Kanji,Radical,# Strokes,Grade,Meaning,Readings
892,臭 ,自 ,9,S ,stinking ,シュウ、くさ-い、にお-う
894,袖 ,衣 ,10,S ,sleeve ,シュウ、そで
896,羞 ,羊 ,11,S ,feel ashamed ,シュウ
902,愁 ,心 ,13,S ,distress ,シュウ、うれ-える、うれ-い
903,酬 ,酉 ,13,S ,repay ,シュウ
904,醜 ,酉 ,17,S ,ugly ,シュウ、みにく-い
905,蹴 ,足 ,19,S ,kick ,シュウ、け-る
906,襲 ,衣 ,22,S ,attack ,シュウ、おそ-う
908,汁 ,水 ,5,S ,soup ,ジュウ、しる
909,充 ,儿 ,6,S ,allot ,ジュウ、あ-てる
911,柔 ,木 ,9,S ,tender ,ジュウ、ニュウ、やわ-らか、やわ-らかい
914,渋 ,水 ,11,S ,astringent ,ジュウ、しぶ、しぶ-い、しぶ-る
915,銃 ,金 ,14,S ,gun ,ジュウ
916,獣 ,犬 ,16,S ,animal ,ジュウ、けもの
918,叔 ,又 ,8,S ,uncle ,シュク
921,淑 ,水 ,11,S ,graceful ,シュク
922,粛 ,聿 ,11,S ,solemn ,シュク
924,塾 ,土 ,14,S ,cram school ,ジュク
929,俊 ,人 ,9,S ,genius ,シュン
931,瞬 ,目 ,18,S ,wink ,シュン、またた-く
932,旬 ,日 ,6,S ,10-day period (of the month) ,ジュン、（シュン）
933,巡 ,巛 ,6,S ,patrol ,ジュン、めぐ-る
934,盾 ,目 ,9,S ,shield ,ジュン、たて
935,准 ,冫 ,10,S ,quasi- ,ジュン
936,殉 ,歹 ,10,S ,martyrdom ,ジュン
938,循 ,彳 ,12,S ,sequential ,ジュン
941,潤 ,水 ,15,S ,wet ,ジュン、うるお-う、うるお-す、うる-む
942,遵 ,辵 ,15,S ,abide by ,ジュン
947,庶 ,广 ,11,S ,commoner ,ショ
950,緒 ,糸 ,14,S ,thong ,ショ、（チョ）、お
953,如 ,女 ,6,S ,likeness ,ジョ、ニョ
956,叙 ,攴 ,9,S ,confer ,ジョ
957,徐 ,彳 ,10,S ,gradually ,ジョ
960,升 ,十 ,4,S ,measuring box ,ショウ、ます
962,召 ,口 ,5,S ,summon ,ショウ、め-す
963,匠 ,匚 ,6,S ,artisan ,ショウ
964,床 ,广 ,7,S ,bed ,ショウ、とこ、ゆか
965,抄 ,手 ,7,S ,extract ,ショウ
966,肖 ,肉 ,7,S ,resemblance ,ショウ
967,尚 ,小 ,8,S ,esteem ,ショウ
970,昇 ,日 ,8,S ,rise up ,ショウ、のぼ-る
972,沼 ,水 ,8,S ,marsh ,ショウ、ぬま
974,宵 ,宀 ,10,S ,wee hours ,ショウ、よい
977,症 ,疒 ,10,S ,symptoms ,ショウ
978,祥 ,示 ,10,S ,auspicious ,ショウ
979,称 ,禾 ,10,S ,appellation ,ショウ
983,渉 ,水 ,11,S ,ford ,ショウ
985,紹 ,糸 ,11,S ,introduce ,ショウ
986,訟 ,言 ,11,S ,sue ,ショウ
988,掌 ,手 ,12,S ,manipulate ,ショウ
989,晶 ,日 ,12,S ,sparkle ,ショウ
991,焦 ,火 ,12,S ,char ,ショウ、こ-げる、こ-がす、こ-がれる、あせ-る
992,硝 ,石 ,12,S ,nitrate ,ショウ
993,粧 ,米 ,12,S ,cosmetics ,ショウ
994,詔 ,言 ,12,S ,imperial edict ,ショウ、みことのり
998,奨 ,大 ,13,S ,exhort ,ショウ
1000,詳 ,言 ,13,S ,detailed ,ショウ、くわ-しい
1001,彰 ,彡 ,14,S ,patent ,ショウ
1003,憧 ,心 ,15,S ,desire ,ショウ、あこが-れる
1004,衝 ,行 ,15,S ,collide ,ショウ
1006,償 ,人 ,17,S ,reparation ,ショウ、つぐな-う
1007,礁 ,石 ,17,S ,reef ,ショウ
1008,鐘 ,金 ,20,S ,bell ,ショウ、かね
1010,丈 ,一 ,3,S ,length ,ジョウ、たけ
1011,冗 ,冖 ,4,S ,superfluous ,ジョウ
1016,浄 ,水 ,9,S ,clean ,ジョウ
